Product_Reporting,Visitor_ID,State_Code
Refinance,7244333688766959228_486387908193497636,48
Personal,3317537701471885520_1522585558862741828,13
Refinance,8109767164154599177_4770725001745595669,48
Purchase,1800267717_2158271554,6
Refinance,5989008511114525477_4938113049823312502,51
Personal,8448961805851817534_3605894695283121639,12
Refinance,1264225130_2158271554,48
Personal,1166814445370024252_4066183804368716229,21
Refinance,1229840302_2140199949,48
Refinance,6369789845728530867_4294906701230827736,36
Personal,6981878023904558186_5934657505684814851,12
Personal,6315766518136961434_7801434380303437848,48
Auto,661199425536435528_2341589520058090378,17
Refinance,2934346117_2140199949,26
Home Equity,791847474_812092854,29
Personal,9212851439110544762_5268157934903191265,1
Refinance,1140925502_1969521446,12
Personal,1664763131_1594079913,29
Purchase,8835968664717823837_2665148169549701426,8
Personal,8136423630503441901_9146346790887391413,12
Personal,919590138441116713_8789483838940070059,6
Refinance,8193584153890568679_1502692640004814667,6
Personal,5791344285320432760_6658566165154570759,48
Personal,6203207023437811571_2038252647246905707,44
Refinance,2935982857_3448141402,18
Personal,6957628091797139763_2767090850755854401,26
Refinance,3253088043451766009_6917548371636935395,53
Personal,6162674056917841900_3073502884838541545,42
Refinance,1958831962417195886_1655868448095164758,3
Refinance,1800252675_1062743221,17
Refinance,2732796405_731835275,40
Refinance,2799214284_1594079913,6
Home Equity,406558662_2140199949,36
Refinance,846460738_4187655586,4
Personal,5809995016968444342_6415261745456221976,13
Home Equity,3265191438486519128_7285682586397684154,18
Refinance,1144157349_2140199949,18
Business Loans,8960435326362697922_4770724615836132552,53
Refinance,1141676723_687056645,40
Personal,1144337694_2613387742,47
Personal,7053798588359899792_8403115936795908152,42
Personal,432465408875652850_3874728207162133924,12
Personal,5796911586138795955_1511008124015413084,11
Personal,1796829202700686412_2669704126307961452,41
Refinance,1239974347_2140199949,48
Personal,7693364507055027489_2017816908941997759,13
Personal,7133846491379093314_9135455817704261679,51
Personal,387252750129073109_5505129458257908006,48
unknown,1422029571792510120_6325019516367252848,35
unknown,1474062355842618828_2457841265549977498,48
unknown,1519731369438292659_7788486140182645491,48
unknown,1711993373764944221_3438900243446431278,22
unknown,2449997946854603939_7400971231564450429,8
unknown,2611393568377671717_556268845430236593,12
unknown,2921713224065263893_1722956521616906479,3
unknown,4178804224980155199_3737738609301891606,47
unknown,4312367479942479167_8886210148246508622,17
unknown,4667018669224382725_7394175473843989754,45
unknown,5016025218606260505_858820257038583034,45
unknown,614116731104396985_5408798638069936276,32
unknown,6373148134427814209_6302488890637607198,36
unknown,6512604866821335057_8320245792700484258,13
unknown,7261988324824651270_5061066612069930363,34
unknown,7810069236986978524_6542927275642760851,3
Personal,1082689463035697963_5278953351596302994,3
Personal,1102435528375469239_3624060573909697671,36
Personal,1347174045491221498_1752173303678624943,18
Personal,1519731369438292659_7788486140182645491,48
Personal,1817590623928254187_420655931605393690,6
Personal,2065746015724433698_1530971005504976181,32
Personal,2607281005955589668_3881426963460915377,37
Personal,3816935075012010401_3016380122706314220,26
Personal,4115777521658450469_4965809635185856046,47
Personal,5941979265495401468_3622930972466365662,6
Personal,6044530240739679409_7789322288069842259,6
Personal,7035602577465304359_9119290814619046013,6
Personal,8470648274580463745_7587257970850519587,28
Personal,8634445541322049053_2334226697907076181,34
Personal,9078950118295177065_1541889257482917974,6
Refinance,4981140254642624754_4444226217594142433,49
Reverse Mortgage,6401678036651269289_8498733891818497544,12
unknown,334546927010521107_5758161483300711186,12
unknown,5398071851538127741_5429102385931529099,55
unknown,8535697634464010735_1704052960294887346,39
Personal,1934577341525895262_2144554945340252344,42
Personal,3367292773207019047_5636795991016335929,12
Personal,3465758506468576957_8055088121336560600,32
Personal,7629288346918405563_9213197741883437918,24
Personal,7989799105172752044_2277446249278478871,42
Personal,8115728922310771949_221471847228670275,42
unknown,3470601673239249265_2967838487166944913,36
unknown,560930744649110502_4700125755455091382,8
Personal,292826476078405637_2151249119410417911,18
Personal,4441310913048603674_6240796151195329972,42
Personal,560930744649110502_4700125755455091382,8
Personal,6933863412085260544_1108280135395285318,36
Personal,6937465110162408304_2922858518826328650,48
unknown,3182473695487918402_7531234097153390375,48
unknown,4439697819686961465_7896294862269606914,49
unknown,8405658605162799582_9134081366572251456,48
unknown,8918193771539550214_6446145700386286608,13
Personal,8999108845536949319_486626222936964491,12
unknown,1383991676833189884_7715353778403968269,1
unknown,3361501081765338592_6285824232539127246,13
unknown,6577876142772106317_7743258301426947679,12
Personal,208783927356014577_8923926155107852868,47
Personal,4744278111274998809_7840549372302656070,12
unknown,6296378364431227741_4493672009189187985,55
Auto,4214323249868280856_7400699203516810239,6
unknown,4595807597770116601_1209671364563024582,6
unknown,8667314214621145932_3802521367244676225,6
unknown,2214099655789358509_7015598606625519479,32
Personal,4610572945409298314_8366651282370870715,42
Personal,2857587184228105205_2306128882578726876,24
Personal,3928471803324726867_1314853357787762500,17
unknown,9205613306100535355_8355805274283983146,12
unknown,7844551611491934575_4681070866980737562,13
Personal,4937940445994405543_4315462159830219679,12
Personal,7030809798296672718_1740476009534566685,29
unknown,6256940248083018222_1647601788490712804,6
unknown,2857548990680859874_680619657190033159,6
Personal,1941881047228743799_8104043496624395378,22
unknown,6517097392587006931_2796639897055284956,55
Personal,3794835402399467933_5053467234301142309,20
unknown,5516609884451743761_2196854771943565995,39
Personal,963061912935783923_2344147479098334322,32
Auto,7318014810303889091_7105699787549720553,36
Refinance,1774237363833891181_4913876191075194607,40
Personal,5574234927292296344_2487233782108076075,13
Personal,8267222827637295633_3435873458543643167,17
Refinance,1234714025214720921_2686220442660995299,41
Purchase,1430377472900766407_926038199369781134,26
Purchase,5640972996611194664_5562171028036399355,24
Refinance,8918945782036210442_6907822285192848326,17
Refinance,4791720449531385637_3056837603486238498,37
Refinance,4155288129152384953_1471721882596865789,25
Personal,7870568469365874798_4465682303749113009,18
Purchase,8498030958298373427_2928487145275101515,12
Purchase,3877656810212791108_811782216570946911,20
Refinance,1163695384527155524_301519542814751274,27
Refinance,3902430756462678341_2171867917162081329,48
Personal,2491116151426780399_1280958966955109382,48
Refinance,1588409338621517670_4072309458252200977,36
Personal,8494542027847503158_4256391633216696312,13
Refinance,4471110592582472296_2827921823649423964,24
Purchase,456517939702278157_6060609624825010245,42
Personal,7776206621210451933_1053057152574236732,48
Personal,7440294019027028012_3160825562672052406,36
Refinance,6276272795215754446_5452172044415150180,6
Refinance,3264225776257059478_226078673544333813,6
Personal,7524631760783668796_1906665174070649028,24
Refinance,8039000483669906304_3900140923512168532,34
Refinance,1634471114754832408_1248385243131491843,13
Personal,3020032802411762621_1804600476160357149,34
Refinance,1599735835905705186_5736767228743358491,48
Personal,6972691272445240791_6949820242233081924,37
Refinance,8737168380676125761_8324417671924276956,47
Personal,195824277987507116_7032471725013750948,17
Personal,6418788125939309886_1063614121811273971,13
Personal,4441310913048603674_6240796151195329972,42
Personal,7253659911369273897_698744561783057386,48
Purchase,8711970176977450771_3186030655216837647,48
Purchase,1574418334779211418_2050798271328427756,6
Purchase,8611770113350115727_5320967677291344841,47
Refinance,3150581974476966281_2197929102885479784,47
Personal,1423083661326952452_7353264908937411428,50
Refinance,8672053429527029652_863441812828581863,13
Personal,3731329490358824023_8795934499821284910,39
Refinance,5459700191124809468_4941901495084932309,36
Personal,5144030959547756791_5917809737905986773,39
Purchase,5191024038749022873_8909683832698131883,12
Personal,1217106959232234824_5124106108977789329,17
Purchase,4577272195804959385_3764431245799374533,40
Refinance,5662614688052341911_2447846984113275796,32
Personal,668910333126570284_5860138776970729840,26
Personal,3071044044117400031_1805465617225604231,42
Personal,6536300517388113577_4928125284893399175,17
Refinance,3710530291793330330_5362267598284137185,26
Purchase,3710530291793330330_5362267598284137185,26
Purchase,2420870901439197975_2852896711597537567,25
Purchase,877730207873456515_2188667579687287446,48
Refinance,2839419263547834617_8735717744330361156,6
Purchase,7949141477585436112_3857489955903445142,6
Purchase,232604572932618778_8753004171560825110,36
Personal,4312367479942479167_8886210148246508622,17
Purchase,559236374012433698_1405030881740967667,48
Refinance,7941017469666857733_4737528367283656862,50
Purchase,1801867724886301718_7830708365156636448,48
Purchase,1089601767205414060_1521023459165451496,26
Personal,4829090254143675338_8432386352555315493,47
Refinance,417736235922673430_9202025175676668896,21
Purchase,2570406319359226531_7614187121847798799,25
Refinance,2295416496042501604_6363690296765323599,39
Personal,6644727962132311474_6539306616890017142,17
Purchase,2947871228865992563_5807409826993741099,37
Refinance,3200432033641304008_4396726059810315644,48
Refinance,3429448752038441634_4678562122396024424,6
Refinance,1512401842645374168_3214684220242155729,53
Refinance,1527449472822980775_8893569996478473838,42
Purchase,2186160887059522676_4334127428865727032,12
Personal,6960262775837725624_5568473151705885503,17
Refinance,901579275432196319_3739324485413745886,8
Purchase,1083884330298574815_168426387015350087,31
Refinance,1715100873109894945_7814309324811444396,26
Personal,7532801194698727560_6936312976228358320,4
Purchase,2328217233582317472_1944738430321591860,48
Refinance,6157519561228333861_7778630525971087478,36
Refinance,1927010153709300953_5816706054711014170,6
Purchase,7428566208794917242_7795303914714733532,30
Refinance,5281889312190582987_4711622195057712136,15
Purchase,4371420151512407084_2431190657398533296,13
Refinance,7536961598265837094_2582809022436580511,8
Refinance,5630795189492045416_5467876880142047582,42
Refinance,8498030958298373427_2928487145275101515,12
Purchase,8241810309975032447_2753059317169906540,6
Refinance,3219296908437072096_8308725887531644857,13
Refinance,3450569303223904721_519187723520286611,36
Personal,1956641347322955971_3535663267603765487,6
Refinance,2484476505033024785_7533946443618985589,45
Personal,8489893387007217994_5987985139130863053,8
Personal,7141405300211955703_8204101959721035683,6
Purchase,9128804148167042745_6130870855108298260,17
Refinance,1516592894141699345_8321010137884756576,39
Purchase,2080482035279304139_1625173452710446995,13
Purchase,8372121304529849090_8095616232976458776,17
Refinance,8007761592642650433_8413928340706357331,42
Refinance,1376880013012155432_3748982574790477560,6
Refinance,2011770991940441247_7428222185418731181,6
Refinance,1333103124732756788_8800942979863868113,3
Refinance,3796227958285841385_3784044055749554445,13
Refinance,4357938516342958630_4477236462784071512,51
Refinance,2342703993806151925_5821089194296542876,27
unknown,2041883618431818400_157198301273185466,42
Personal,2192770267860963469_2644406536561511982,34
Refinance,928617486263013978_2934993215015194557,42
Refinance,3363266309803996451_6099879501272734450,34
Refinance,2523912889513158530_2464889382869136414,48
Purchase,8588916528848883368_4620478303016310316,18
Refinance,8462101263250394590_9167537592692249574,29
Personal,7165346788056807453_5222413993550848462,35
Refinance,2398235471540189869_1330502145341870282,13
Purchase,3499531723400555877_2875272980162374872,25
Refinance,4186726451949318855_8875103560774304452,39
Refinance,7368427069202515668_6649503219004641222,12
Auto,4937940445994405543_4315462159830219679,12
Refinance,8469776991708870521_6893593128694678853,36
Refinance,1064535102927311756_4205004195367826321,34
Refinance,6806638932088797859_4980248954351453207,22
Purchase,4251226809010108839_611713271146102334,48
Purchase,2465711955048699798_330961417582209823,6
